2016/05/01 15:11:20 [error] 1560#0: *220 FastCGI sent in stderr: "PHP message: PHP Warning:  file_put_contents(/home/maxthekeeper/www/calendar.app/runtime/debug/5725f2681f747.data): failed to open stream: Permission denied in /home/maxthekeeper/www/calendar.app/vendor/yiisoft/yii2-debug/LogTarget.php on line 57
PHP message: PHP Warning:  touch(): Utime failed: Permission denied in /home/maxthekeeper/www/calendar.app/vendor/yiisoft/yii2-debug/LogTarget.php on line 75" while reading upstream, client: 127.0.0.1, server: calendar.app, request: "GET /user/view HTTP/1.1", upstream: "fastcgi://unix:/var/run/php5-fpm.sock:", host: "calendar.app"
2016/05/01 15:58:02 [error] 1560#0: *285 FastCGI sent in stderr: "PHP message: PHP Warning:  file_put_contents(/home/maxthekeeper/www/calendar.app/runtime/debug/5725fd5a5b092.data): failed to open stream: Permission denied in /home/maxthekeeper/www/calendar.app/vendor/yiisoft/yii2-debug/LogTarget.php on line 57
PHP message: PHP Warning:  touch(): Utime failed: Permission denied in /home/maxthekeeper/www/calendar.app/vendor/yiisoft/yii2-debug/LogTarget.php on line 75" while reading upstream, client: 127.0.0.1, server: calendar.app, request: "GET /user/update/1 HTTP/1.1", upstream: "fastcgi://unix:/var/run/php5-fpm.sock:", host: "calendar.app"
2016/05/01 15:58:06 [error] 1560#0: *288 FastCGI sent in stderr: "PHP message: PHP Warning:  file_put_contents(/home/maxthekeeper/www/calendar.app/runtime/debug/5725fd5edff0d.data): failed to open stream: Permission denied in /home/maxthekeeper/www/calendar.app/vendor/yiisoft/yii2-debug/LogTarget.php on line 57
PHP message: PHP Warning:  touch(): Utime failed: Permission denied in /home/maxthekeeper/www/calendar.app/vendor/yiisoft/yii2-debug/LogTarget.ph" while reading upstream, client: 127.0.0.1, server: calendar.app, request: "GET /user/update HTTP/1.1", upstream: "fastcgi://unix:/var/run/php5-fpm.sock:", host: "calendar.app"
2016/05/01 15:58:06 [error] 1560#0: *288 FastCGI sent in stderr: "p on line 75" while reading upstream, client: 127.0.0.1, server: calendar.app, request: "GET /user/update HTTP/1.1", upstream: "fastcgi://unix:/var/run/php5-fpm.sock:", host: "calendar.app"
2016/05/02 20:30:14 [error] 1560#0: *42 FastCGI sent in stderr: "PHP message: PHP Warning:  file_put_contents(/home/maxthekeeper/www/calendar.app/runtime/debug/57278ea6655bf.data): failed to open stream: Permission denied in /home/maxthekeeper/www/calendar.app/vendor/yiisoft/yii2-debug/LogTarget.php on line 57
PHP message: PHP Warning:  touch(): Utime failed: Permission denied in /home/maxthekeeper/www/calendar.app/vendor/yiisoft/yii2-debug/LogTarget.php on line 75" while reading upstream, client: 127.0.0.1, server: calendar.app, request: "GET /user/view/1 HTTP/1.1", upstream: "fastcgi://unix:/var/run/php5-fpm.sock:", host: "calendar.app"
2016/05/02 23:04:05 [error] 1560#0: *114 FastCGI sent in stderr: "PHP message: PHP Warning:  file_put_contents(/home/maxthekeeper/www/calendar.app/runtime/debug/5727b2b4eee6f.data): failed to open stream: Permission denied in /home/maxthekeeper/www/calendar.app/vendor/yiisoft/yii2-debug/LogTarget.php on line 57
PHP message: PHP Warning:  touch(): Utime failed: Permission denied in /home/maxthekeeper/www/calendar.app/vendor/yiisoft/yii2-debug/LogTarget.php on line 75" while reading upstream, client: 127.0.0.1, server: calendar.app, request: "GET /user/view?id=1 HTTP/1.1", upstream: "fastcgi://unix:/var/run/php5-fpm.sock:", host: "calendar.app", referrer: "http://calendar.app/user/create"
2016/05/03 18:46:41 [error] 1573#0: *189 FastCGI sent in stderr: "PHP message: PHP Warning:  file_put_contents(/home/maxthekeeper/www/calendar.app/runtime/debug/5728c7e135e8d.data): failed to open stream: Permission denied in /home/maxthekeeper/www/calendar.app/vendor/yiisoft/yii2-debug/LogTarget.php on line 57
PHP message: PHP Warning:  touch(): Utime failed: Permission denied in /home/maxthekeeper/www/calendar.app/vendor/yiisoft/yii2-debug/LogTarget.php on line 75" while reading upstream, client: 127.0.0.1, server: calendar.app, request: "GET /site/gii HTTP/1.1", upstream: "fastcgi://unix:/var/run/php5-fpm.sock:", host: "calendar.app"
2016/05/03 18:55:58 [error] 1573#0: *227 FastCGI sent in stderr: "PHP message: PHP Warning:  file_put_contents(/home/maxthekeeper/www/calendar.app/runtime/debug/5728ca0e599a5.data): failed to open stream: Permission denied in /home/maxthekeeper/www/calendar.app/vendor/yiisoft/yii2-debug/LogTarget.php on line 57
PHP message: PHP Warning:  touch(): Utime failed: Permission denied in /home/maxthekeeper/www/calendar.app/vendor/yiisoft/yii2-debug/LogTarget.php on line 75" while reading upstream, client: 127.0.0.1, server: calendar.app, request: "GET /gii/default/preview?id=controller&file=ebd6ebe88638be737d1c0dd8c506a4a2 HTTP/1.1", upstream: "fastcgi://unix:/var/run/php5-fpm.sock:", host: "calendar.app", referrer: "http://calendar.app/gii/controller"
2016/05/05 21:51:03 [error] 1578#0: *18 FastCGI sent in stderr: "PHP message: PHP Warning:  file_put_contents(/home/maxthekeeper/www/calendar.app/runtime/debug/572b961764b75.data): failed to open stream: Permission denied in /home/maxthekeeper/www/calendar.app/vendor/yiisoft/yii2-debug/LogTarget.php on line 57
PHP message: PHP Warning:  touch(): Utime failed: Permission denied in /home/maxthekeeper/www/calendar.app/vendor/yiisoft/yii2-debug/LogTarget.php on line 75" while reading upstream, client: 127.0.0.1, server: calendar.app, request: "GET /user/index/create HTTP/1.1", upstream: "fastcgi://unix:/var/run/php5-fpm.sock:", host: "calendar.app"
2016/05/07 14:58:04 [error] 1569#0: *237 FastCGI sent in stderr: "PHP message: PHP Warning:  file_put_contents(/home/maxthekeeper/www/calendar.app/runtime/debug/572dd84c4e931.data): failed to open stream: Permission denied in /home/maxthekeeper/www/calendar.app/vendor/yiisoft/yii2-debug/LogTarget.php on line 57
PHP message: PHP Warning:  touch(): Utime failed: Permission denied in /home/maxthekeeper/www/calendar.app/vendor/yiisoft/yii2-debug/LogTarget.php on line 75" while reading upstream, client: 127.0.0.1, server: calendar.app, request: "GET /calendar HTTP/1.1", upstream: "fastcgi://unix:/var/run/php5-fpm.sock:", host: "calendar.app"
2016/05/07 15:59:17 [error] 1569#0: *311 FastCGI sent in stderr: "PHP message: PHP Warning:  file_put_contents(/home/maxthekeeper/www/calendar.app/runtime/debug/572de6a548f66.data): failed to open stream: Permission denied in /home/maxthekeeper/www/calendar.app/vendor/yiisoft/yii2-debug/LogTarget.php on line 57
PHP message: PHP Warning:  touch(): Utime failed: Permission denied in /home/maxthekeeper/www/calendar.app/vendor/yiisoft/yii2-debug/LogTarget.php on line 75" while reading upstream, client: 127.0.0.1, server: calendar.app, request: "GET /calendar HTTP/1.1", upstream: "fastcgi://unix:/var/run/php5-fpm.sock:", host: "calendar.app"
2016/05/07 15:59:58 [error] 1569#0: *329 FastCGI sent in stderr: "PHP message: PHP Warning:  file_put_contents(/home/maxthekeeper/www/calendar.app/runtime/debug/572de6cea21ca.data): failed to open stream: Permission denied in /home/maxthekeeper/www/calendar.app/vendor/yiisoft/yii2-debug/LogTarget.php on line 57
PHP message: PHP Warning:  touch(): Utime failed: Permission denied in /home/maxthekeeper/www/calendar.app/vendor/yiisoft/yii2-debug/LogTarget.php on line 75" while reading upstream, client: 127.0.0.1, server: calendar.app, request: "GET /calendar HTTP/1.1", upstream: "fastcgi://unix:/var/run/php5-fpm.sock:", host: "calendar.app"
2016/05/07 17:35:47 [error] 1569#0: *345 FastCGI sent in stderr: "PHP message: PHP Warning:  file_put_contents(/home/maxthekeeper/www/calendar.app/runtime/debug/572dfd43df72c.data): failed to open stream: Permission denied in /home/maxthekeeper/www/calendar.app/vendor/yiisoft/yii2-debug/LogTarget.php on line 57" while reading upstream, client: 127.0.0.1, server: calendar.app, request: "GET /calendar/view?id=1 HTTP/1.1", upstream: "fastcgi://unix:/var/run/php5-fpm.sock:", host: "calendar.app", referrer: "http://calendar.app/calendar/create"
2016/05/07 17:35:47 [error] 1569#0: *345 FastCGI sent in stderr: "PHP message: PHP Warning:  touch(): Utime failed: Permission denied in /home/maxthekeeper/www/calendar.app/vendor/yiisoft/yii2-debug/LogTarget.php on line 75" while reading upstream, client: 127.0.0.1, server: calendar.app, request: "GET /calendar/view?id=1 HTTP/1.1", upstream: "fastcgi://unix:/var/run/php5-fpm.sock:", host: "calendar.app", referrer: "http://calendar.app/calendar/create"
2016/05/07 18:36:03 [error] 1569#0: *376 FastCGI sent in stderr: "PHP message: PHP Warning:  file_put_contents(/home/maxthekeeper/www/calendar.app/runtime/debug/572e0b630bc1f.data): failed to open stream: Permission denied in /home/maxthekeeper/www/calendar.app/vendor/yiisoft/yii2-debug/LogTarget.php on line 57
PHP message: PHP Warning:  touch(): Utime failed: Permission denied in /home/maxthekeeper/www/calendar.app/vendor/yiisoft/yii2-debug/LogTarget.php on line 75" while reading upstream, client: 127.0.0.1, server: calendar.app, request: "GET /calendar/guest HTTP/1.1", upstream: "fastcgi://unix:/var/run/php5-fpm.sock:", host: "calendar.app", referrer: "http://calendar.app/calendar/mycalendar"
2016/05/07 18:36:26 [error] 1569#0: *390 FastCGI sent in stderr: "PHP message: PHP Warning:  file_put_contents(/home/maxthekeeper/www/calendar.app/runtime/debug/572e0b7aab42d.data): failed to open stream: Permission denied in /home/maxthekeeper/www/calendar.app/vendor/yiisoft/yii2-debug/LogTarget.php on line 57
PHP message: PHP Warning:  touch(): Utime failed: Permission denied in /home/maxthekeeper/www/calendar.app/vendor/yiisoft/yii2-debug/LogTarget.php on line 75" while reading upstream, client: 127.0.0.1, server: calendar.app, request: "GET /calendar/guest HTTP/1.1", upstream: "fastcgi://unix:/var/run/php5-fpm.sock:", host: "calendar.app", referrer: "http://calendar.app/calendar/mycalendar"
2016/05/07 18:36:29 [error] 1569#0: *399 FastCGI sent in stderr: "PHP message: PHP Warning:  file_put_contents(/home/maxthekeeper/www/calendar.app/runtime/debug/572e0b7ddf67d.data): failed to open stream: Permission denied in /home/maxthekeeper/www/calendar.app/vendor/yiisoft/yii2-debug/LogTarget.php on line 57
PHP message: PHP Warning:  touch(): Utime failed: Permission denied in /home/maxthekeeper/www/calendar.app/vendor/yiisoft/yii2-debug/LogTarget.php on line 75" while reading upstream, client: 127.0.0.1, server: calendar.app, request: "GET /calendar HTTP/1.1", upstream: "fastcgi://unix:/var/run/php5-fpm.sock:", host: "calendar.app"
2016/05/07 18:36:49 [error] 1569#0: *404 FastCGI sent in stderr: "PHP message: PHP Warning:  file_put_contents(/home/maxthekeeper/www/calendar.app/runtime/debug/572e0b9109575.data): failed to open stream: Permission denied in /home/maxthekeeper/www/calendar.app/vendor/yiisoft/yii2-debug/LogTarget.php on line 57" while reading upstream, client: 127.0.0.1, server: calendar.app, request: "GET /calendar/view?id=2 HTTP/1.1", upstream: "fastcgi://unix:/var/run/php5-fpm.sock:", host: "calendar.app", referrer: "http://calendar.app/calendar/create"
